ал;епымуло;омола;йыдийос мпс;омола мпс;йыдийос ппс;омола ппс;бахлос
SR000001;епымуло 0001;омола 0001;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;0.4
SR000001;епымуло 0001;омола 0001;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;0.3
SR000001;епымуло 0001;омола 0001;ICE1-4003;кеитоуяцийа сустглата ии;P1-4030;кеитоуяцийа сустглата ии;0.3
SR000004;епымуло 0004;омола 0004;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;3.5
SR000004;епымуло 0004;омола 0004;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;6.8
SR000004;епымуло 0004;омола 0004;ICE1-4004;леходокоциес амаптунгс ежаялоцым;P1-4040;леходокоциес амаптунгс ежаялоцым;1.1
SR000004;епымуло 0004;омола 0004;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;2
SR000004;епымуло 0004;омола 0004;ICE1-6006;ьгжиайес епийоимымиес;P1-5320;ьгжиайес епийоимымиес;2
SR000009;епымуло 0009;омола 0009;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR000009;епымуло 0009;омола 0009;ICE1-4003;кеитоуяцийа сустглата ии;P1-4030;кеитоуяцийа сустглата ии;3.4
SR000010;епымуло 0010;омола 0010;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;8.6
SR000010;епымуло 0010;омола 0010;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;6.8
SR000010;епымуло 0010;омола 0010;ICE1-1006;жусийг;P1-1060;жусийг;0.3
SR000011;епымуло 0011;омола 0011;ICE1-1006;жусийг;P1-1060;жусийг;4.2
SR000015;епымуло 0015;омола 0015;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;0.3
SR000015;епымуло 0015;омола 0015;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;0.3
SR000015;епымуло 0015;омола 0015;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;3.4
SR000015;епымуло 0015;омола 0015;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;10
SR000015;епымуло 0015;омола 0015;ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и;10
SR000015;епымуло 0015;омола 0015;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;7.4
SR000017;епымуло 0017;омола 0017;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;10
SR000017;епымуло 0017;омола 0017;ICE1-4003;кеитоуяцийа сустглата ии;P1-4030;кеитоуяцийа сустглата ии;6.8
SR000017;епымуло 0017;омола 0017;ICE1-7404;дийаио йаи йубеямогхийг;P1-9025;дийаио йаи йубеямогхийг;7.6
SR000018;епымуло 0018;омола 0018;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;7.5
SR000018;епымуло 0018;омола 0018;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;7.5
SR000018;епымуло 0018;омола 0018;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;1.1
SR000018;епымуло 0018;омола 0018;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;0.3
SR000018;епымуло 0018;омола 0018;ICE1-1006;жусийг;P1-1060;жусийг;2.9
SR000018;епымуло 0018;омола 0018;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;10
SR000018;епымуло 0018;омола 0018;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;10
SR000018;епымуло 0018;омола 0018;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;0.3
SR000018;епымуло 0018;омола 0018;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;7.5
SR000019;епымуло 0019;омола 0019;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;3.9
SR000021;епымуло 0021;омола 0021;ICE1-1006;жусийг;P1-1060;жусийг;8.6
SR000021;епымуло 0021;омола 0021;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;7.5
SR000021;епымуло 0021;омола 0021;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;4.3
SR000028;епымуло 0028;омола 0028;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;3.5
SR000028;епымуло 0028;омола 0028;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;1.1
SR000028;епымуло 0028;омола 0028;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;5.6
SR000029;епымуло 0029;омола 0029;ICE1-1006;жусийг;P1-1060;жусийг;10
SR000029;епымуло 0029;омола 0029;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;7.5
SR000029;епымуло 0029;омола 0029;ICE1-5002;дийтуайос пяоцяаллатислос;P1-5110;дийтуайос пяоцяаллатислос;3.7
